unit_id,donation_date,expiry_date,transfusion_date,blood_group,hospital_name,hospital_department,inventory_level,daily_units_demanded,status,wastage_reason,days_in_storage,inventory_risk,shortage_flag,year,month
BBU000017,2024-08-15,2024-09-26,2024-08-30,O+,Lagos University Teaching Hospital,Pediatrics,25,19,Transfused,\N,15,Medium,No,2024,August
BBU000018,2023-07-26,2023-09-06,\N,O+,University of Port Harcourt Teaching Hospital,Emergency,44,20,Expired,Storage Temperature Excursion,42,Low,No,2023,July
BBU000019,2025-01-17,2025-02-28,2025-01-24,O+,University of Port Harcourt Teaching Hospital,Obstetrics,30,23,Transfused,\N,7,Medium,No,2025,January
BBU000020,2024-03-05,2024-04-16,2024-03-30,B+,University College Hospital Ibadan,Emergency,50,9,Transfused,\N,25,Low,No,2024,March
BBU000021,2023-05-27,2023-07-08,\N,AB+,University College Hospital Ibadan,Emergency,53,7,Available,\N,10,Low,No,2023,May
BBU000022,2025-12-29,2026-02-09,2026-01-02,O+,University of Port Harcourt Teaching Hospital,Obstetrics,66,19,Transfused,\N,4,Low,No,2025,December
BBU000023,2025-08-04,2025-09-15,2025-09-05,AB+,Lagos University Teaching Hospital,Obstetrics,39,4,Transfused,\N,32,Low,No,2025,August
BBU000024,2024-03-25,2024-05-06,2024-03-29,B+,University of Port Harcourt Teaching Hospital,ICU,28,18,Transfused,\N,4,Medium,No,2024,March
BBU000025,2024-04-14,2024-05-26,2024-04-27,A+,Lagos University Teaching Hospital,Emergency,10,17,Transfused,\N,13,High,Yes,2024,April
BBU000026,2025-04-01,2025-05-13,2025-04-06,O+,University College Hospital Ibadan,ICU,37,14,Transfused,\N,5,Low,No,2025,April
BBU000027,2024-10-06,2024-11-17,2024-10-10,O-,University College Hospital Ibadan,Pediatrics,3,18,Transfused,\N,4,High,Yes,2024,October
BBU000028,2025-03-21,2025-05-02,2025-03-25,O+,Lagos University Teaching Hospital,Emergency,76,26,Transfused,\N,4,Low,No,2025,March
BBU000029,2024-06-26,2024-08-07,2024-07-02,O-,National Hospital Abuja,Trauma,2,11,Transfused,\N,6,High,Yes,2024,June
BBU000030,2024-06-22,2024-08-03,2024-07-13,B+,Federal Medical Centre Owerri,ICU,45,11,Transfused,\N,21,Low,No,2024,June
BBU000031,2025-03-28,2025-05-09,\N,B+,University College Hospital Ibadan,Emergency,31,8,Available,\N,8,Low,No,2025,March
BBU000032,2025-11-09,2025-12-21,2025-11-23,O+,Federal Medical Centre Owerri,Trauma,51,14,Transfused,\N,14,Low,No,2025,November
BBU000033,2023-04-07,2023-05-19,2023-04-11,O+,University College Hospital Ibadan,Emergency,75,15,Transfused,\N,4,Low,No,2023,April
BBU000034,2023-11-24,2024-01-05,2023-12-05,O+,Aminu Kano Teaching Hospital,Surgery,70,25,Transfused,\N,11,Low,No,2023,November
BBU000035,2023-05-11,2023-06-22,2023-06-02,A+,University College Hospital Ibadan,Hematology,32,11,Transfused,\N,22,Low,No,2023,May
BBU000036,2025-08-16,2025-09-27,2025-09-05,A-,University College Hospital Ibadan,Surgery,41,9,Transfused,\N,20,Low,No,2025,August
BBU000037,2023-01-24,2023-03-07,2023-02-05,O+,National Hospital Abuja,ICU,63,15,Transfused,\N,12,Low,No,2023,January
BBU000038,2024-06-30,2024-08-11,2024-07-03,O+,Aminu Kano Teaching Hospital,Emergency,69,22,Transfused,\N,3,Low,No,2024,June
BBU000039,2024-08-24,2024-10-05,2024-09-02,O+,Aminu Kano Teaching Hospital,Emergency,47,17,Transfused,\N,9,Low,No,2024,August
BBU000040,2023-01-07,2023-02-18,2023-01-15,B+,Lagos University Teaching Hospital,Obstetrics,24,13,Transfused,\N,8,Medium,No,2023,January
BBU000041,2025-11-05,2025-12-17,2025-11-20,O+,National Hospital Abuja,ICU,78,15,Transfused,\N,15,Low,No,2025,November
BBU000042,2024-09-03,2024-10-15,2024-09-14,O+,University College Hospital Ibadan,Emergency,73,28,Transfused,\N,11,Low,No,2024,September
BBU000043,2024-02-12,2024-03-25,2024-02-26,O+,National Hospital Abuja,Emergency,29,23,Transfused,\N,14,Medium,No,2024,February
BBU000044,2023-11-27,2024-01-08,2023-12-16,A+,National Hospital Abuja,Emergency,42,17,Transfused,\N,19,Low,No,2023,November
BBU000045,2023-01-02,2023-02-13,2023-01-20,B+,Aminu Kano Teaching Hospital,Emergency,46,10,Transfused,\N,18,Low,No,2023,January
BBU000046,2023-02-09,2023-03-23,2023-02-24,O+,Aminu Kano Teaching Hospital,Trauma,27,23,Transfused,\N,15,Medium,No,2023,February
BBU000047,2024-09-21,2024-11-02,2024-09-26,O+,Federal Medical Centre Owerri,ICU,35,13,Transfused,\N,5,Low,No,2024,September
BBU000048,2023-06-11,2023-07-23,2023-06-29,A+,Lagos University Teaching Hospital,Trauma,13,16,Transfused,\N,18,Medium,Yes,2023,June
BBU000049,2023-05-22,2023-07-03,2023-05-24,O-,University College Hospital Ibadan,Surgery,8,20,Transfused,\N,2,High,Yes,2023,May
BBU000050,2023-09-20,2023-11-01,\N,B+,Federal Medical Centre Owerri,Pediatrics,50,12,Available,\N,35,Low,No,2023,September
BBU000051,2023-12-05,2024-01-16,2023-12-27,A+,Lagos University Teaching Hospital,Trauma,24,13,Transfused,\N,22,Medium,No,2023,December
BBU000052,2025-05-16,2025-06-27,2025-06-10,A+,Lagos University Teaching Hospital,Obstetrics,21,13,Transfused,\N,25,Medium,No,2025,May
BBU000053,2024-02-16,2024-03-29,2024-02-24,O+,National Hospital Abuja,Obstetrics,65,21,Transfused,\N,8,Low,No,2024,February
BBU000054,2025-02-03,2025-03-17,2025-02-20,B+,University of Port Harcourt Teaching Hospital,Emergency,36,13,Transfused,\N,17,Low,No,2025,February
BBU000055,2023-09-05,2023-10-17,2023-09-08,O+,National Hospital Abuja,Oncology,35,19,Transfused,\N,3,Low,No,2023,September
BBU000056,2024-11-23,2025-01-04,2024-12-13,B+,Lagos University Teaching Hospital,Surgery,9,14,Transfused,\N,20,High,Yes,2024,November
BBU000057,2024-04-16,2024-05-28,2024-04-18,O+,Aminu Kano Teaching Hospital,Surgery,57,19,Transfused,\N,2,Low,No,2024,April
BBU000058,2023-05-26,2023-07-07,\N,AB+,University of Port Harcourt Teaching Hospital,ICU,60,7,Available,\N,3,Low,No,2023,May
BBU000059,2024-04-13,2024-05-25,2024-04-26,A+,Lagos University Teaching Hospital,Obstetrics,12,5,Transfused,\N,13,Medium,No,2024,April
BBU000060,2023-05-26,2023-07-07,2023-06-01,O+,National Hospital Abuja,Emergency,52,19,Transfused,\N,6,Low,No,2023,May
BBU000061,2025-09-21,2025-11-02,\N,A-,Aminu Kano Teaching Hospital,Surgery,21,13,Available,\N,8,Medium,No,2025,September
BBU000062,2025-08-26,2025-10-07,\N,O+,University College Hospital Ibadan,Hematology,35,27,Available,\N,26,Low,No,2025,August
BBU000063,2024-01-25,2024-03-07,2024-02-18,A-,Lagos University Teaching Hospital,Surgery,14,6,Transfused,\N,24,Medium,No,2024,January
BBU000064,2025-06-01,2025-07-13,2025-06-26,AB+,Lagos University Teaching Hospital,ICU,37,5,Transfused,\N,25,Low,No,2025,June
BBU000065,2025-08-14,2025-09-25,2025-08-20,O-,National Hospital Abuja,Emergency,0,18,Transfused,\N,6,High,Yes,2025,August
BBU000066,2023-07-21,2023-09-01,\N,A+,Lagos University Teaching Hospital,ICU,11,11,Expired,Damaged During Handling,42,Medium,No,2023,July
BBU000067,2024-11-25,2025-01-06,\N,AB+,University of Port Harcourt Teaching Hospital,Obstetrics,21,3,Available,\N,12,Medium,No,2024,November
BBU000068,2024-01-25,2024-03-07,2024-01-29,O+,Federal Medical Centre Owerri,Oncology,54,26,Transfused,\N,4,Low,No,2024,January
BBU000069,2025-05-14,2025-06-25,\N,AB+,National Hospital Abuja,ICU,26,4,Expired,Storage Temperature Excursion,42,Medium,No,2025,May
BBU000070,2024-05-26,2024-07-07,2024-06-15,B+,University of Port Harcourt Teaching Hospital,Pediatrics,12,12,Transfused,\N,20,Medium,No,2024,May
BBU000071,2023-07-20,2023-08-31,2023-08-18,AB+,University College Hospital Ibadan,Emergency,18,7,Transfused,\N,29,Medium,No,2023,July
BBU000072,2023-01-31,2023-03-14,2023-02-10,A+,University College Hospital Ibadan,ICU,13,17,Transfused,\N,10,Medium,Yes,2023,January
BBU000073,2023-12-07,2024-01-18,2023-12-16,O+,Lagos University Teaching Hospital,Emergency,46,27,Transfused,\N,9,Low,No,2023,December
BBU000074,2024-03-13,2024-04-24,2024-03-21,B+,Lagos University Teaching Hospital,ICU,33,5,Transfused,\N,8,Low,No,2024,March
BBU000075,2025-02-15,2025-03-29,2025-02-26,B+,National Hospital Abuja,Emergency,8,11,Transfused,\N,11,High,Yes,2025,February
BBU000076,2025-07-20,2025-08-31,2025-08-02,O+,National Hospital Abuja,Obstetrics,38,25,Transfused,\N,13,Low,No,2025,July
BBU000077,2025-09-23,2025-11-04,\N,B+,National Hospital Abuja,Surgery,17,8,Expired,Inventory Overstock,42,Medium,No,2025,September
BBU000078,2024-03-21,2024-05-02,2024-04-10,B+,University College Hospital Ibadan,Emergency,11,14,Transfused,\N,20,Medium,Yes,2024,March
BBU000079,2023-05-05,2023-06-16,\N,O+,Federal Medical Centre Owerri,Obstetrics,67,22,Expired,Shelf Life Exceeded,42,Low,No,2023,May
BBU000080,2023-04-13,2023-05-25,2023-05-02,A+,Lagos University Teaching Hospital,Surgery,45,12,Transfused,\N,19,Low,No,2023,April
BBU000081,2025-12-23,2026-02-03,2026-01-11,A+,National Hospital Abuja,Surgery,18,5,Transfused,\N,19,Medium,No,2025,December
BBU000082,2023-06-14,2023-07-26,2023-07-06,A-,National Hospital Abuja,ICU,19,6,Transfused,\N,22,Medium,No,2023,June
BBU000083,2023-05-20,2023-07-01,2023-05-26,A+,University College Hospital Ibadan,Pediatrics,23,11,Transfused,\N,6,Medium,No,2023,May
BBU000084,2024-05-19,2024-06-30,2024-05-30,O+,Lagos University Teaching Hospital,Emergency,57,13,Transfused,\N,11,Low,No,2024,May
BBU000085,2023-06-17,2023-07-29,\N,AB+,University College Hospital Ibadan,Emergency,41,7,Available,\N,37,Low,No,2023,June
BBU000086,2025-12-06,2026-01-17,2025-12-15,A+,Lagos University Teaching Hospital,Surgery,28,9,Transfused,\N,9,Medium,No,2025,December
BBU000087,2024-10-05,2024-11-16,2024-10-20,A+,National Hospital Abuja,Emergency,23,9,Transfused,\N,15,Medium,No,2024,October
BBU000088,2023-09-26,2023-11-07,2023-10-05,O+,National Hospital Abuja,Oncology,62,21,Transfused,\N,9,Low,No,2023,September
BBU000089,2024-10-09,2024-11-20,2024-10-26,B+,Lagos University Teaching Hospital,Obstetrics,12,5,Transfused,\N,17,Medium,No,2024,October
BBU000090,2023-07-24,2023-09-04,2023-08-03,O+,Aminu Kano Teaching Hospital,ICU,24,18,Transfused,\N,10,Medium,No,2023,July
BBU000091,2024-06-27,2024-08-08,2024-07-02,A+,University College Hospital Ibadan,ICU,16,10,Transfused,\N,5,Medium,No,2024,June
BBU000092,2024-05-15,2024-06-26,2024-05-23,A-,Aminu Kano Teaching Hospital,Trauma,31,9,Transfused,\N,8,Low,No,2024,May
BBU000093,2025-06-16,2025-07-28,2025-06-27,O+,Lagos University Teaching Hospital,Emergency,73,21,Transfused,\N,11,Low,No,2025,June
BBU000094,2025-12-19,2026-01-30,2025-12-31,O+,Lagos University Teaching Hospital,Surgery,20,21,Transfused,\N,12,Medium,Yes,2025,December
BBU000095,2023-08-01,2023-09-12,2023-08-07,B+,Federal Medical Centre Owerri,Surgery,16,9,Transfused,\N,6,Medium,No,2023,August
BBU000096,2023-08-08,2023-09-19,2023-08-14,O+,National Hospital Abuja,Trauma,67,16,Transfused,\N,6,Low,No,2023,August
BBU000097,2024-07-31,2024-09-11,\N,B+,Lagos University Teaching Hospital,Emergency,46,8,Available,\N,21,Low,No,2024,July
BBU000098,2024-02-21,2024-04-03,\N,B+,Aminu Kano Teaching Hospital,Surgery,48,18,Available,\N,16,Low,No,2024,February
BBU000099,2025-11-01,2025-12-13,2025-11-16,O+,University College Hospital Ibadan,Trauma,51,20,Transfused,\N,15,Low,No,2025,November
BBU000100,2023-04-15,2023-05-27,2023-05-10,AB+,University of Port Harcourt Teaching Hospital,Pediatrics,20,7,Transfused,\N,25,Medium,No,2023,April
BBU000101,2024-07-20,2024-08-31,\N,O+,National Hospital Abuja,Oncology,22,12,Available,\N,21,Medium,No,2024,July
BBU000102,2023-09-25,2023-11-06,\N,O+,University College Hospital Ibadan,Emergency,60,20,Available,\N,10,Low,No,2023,September
BBU000103,2025-06-23,2025-08-04,2025-06-27,O-,University College Hospital Ibadan,Trauma,8,19,Transfused,\N,4,High,Yes,2025,June
BBU000104,2023-01-20,2023-03-03,2023-02-14,A-,National Hospital Abuja,Surgery,15,6,Transfused,\N,25,Medium,No,2023,January
BBU000105,2023-11-02,2023-12-14,2023-11-17,O+,National Hospital Abuja,Pediatrics,54,13,Transfused,\N,15,Low,No,2023,November
BBU000106,2025-01-26,2025-03-09,\N,B+,Lagos University Teaching Hospital,ICU,45,13,Available,\N,9,Low,No,2025,January
BBU000107,2025-05-30,2025-07-11,2025-06-05,O+,University College Hospital Ibadan,Trauma,28,13,Transfused,\N,6,Medium,No,2025,May
BBU000108,2025-01-16,2025-02-27,2025-01-23,O+,Lagos University Teaching Hospital,Pediatrics,77,13,Transfused,\N,7,Low,No,2025,January
BBU000109,2024-03-06,2024-04-17,2024-03-12,A+,Lagos University Teaching Hospital,Obstetrics,23,15,Transfused,\N,6,Medium,No,2024,March
BBU000110,2024-12-25,2025-02-05,2025-01-05,O+,University of Port Harcourt Teaching Hospital,Emergency,69,25,Transfused,\N,11,Low,No,2024,December
BBU000111,2023-11-13,2023-12-25,\N,O+,University College Hospital Ibadan,Surgery,79,19,Expired,Low Demand,42,Low,No,2023,November
BBU000112,2023-12-29,2024-02-09,\N,B+,Aminu Kano Teaching Hospital,Pediatrics,34,5,Expired,Low Demand,42,Low,No,2023,December
BBU000113,2024-11-11,2024-12-23,2024-11-25,O+,University of Port Harcourt Teaching Hospital,ICU,70,25,Transfused,\N,14,Low,No,2024,November
BBU000114,2024-05-23,2024-07-04,\N,A+,Lagos University Teaching Hospital,ICU,25,7,Available,\N,6,Medium,No,2024,May
BBU000115,2025-02-22,2025-04-05,2025-03-09,O+,Lagos University Teaching Hospital,Emergency,75,13,Transfused,\N,15,Low,No,2025,February
BBU000116,2025-08-21,2025-10-02,2025-09-05,O+,University of Port Harcourt Teaching Hospital,ICU,34,18,Transfused,\N,15,Low,No,2025,August
BBU000117,2025-07-31,2025-09-11,2025-08-10,A-,Lagos University Teaching Hospital,Trauma,30,9,Transfused,\N,10,Medium,No,2025,July
BBU000118,2024-04-01,2024-05-13,\N,O+,Lagos University Teaching Hospital,Hematology,21,18,Expired,Storage Temperature Excursion,42,Medium,No,2024,April
BBU000119,2024-11-03,2024-12-15,\N,O+,National Hospital Abuja,Hematology,37,14,Available,\N,17,Low,No,2024,November
BBU000120,2024-12-20,2025-01-31,2024-12-28,O+,Aminu Kano Teaching Hospital,ICU,61,28,Transfused,\N,8,Low,No,2024,December
BBU000121,2024-11-09,2024-12-21,2024-11-20,A+,University College Hospital Ibadan,ICU,9,6,Transfused,\N,11,High,No,2024,November
BBU000122,2024-01-01,2024-02-12,\N,A+,Lagos University Teaching Hospital,Surgery,45,9,Available,\N,2,Low,No,2024,January
BBU000123,2023-08-11,2023-09-22,\N,A-,University College Hospital Ibadan,ICU,46,11,Available,\N,22,Low,No,2023,August
BBU000124,2024-10-04,2024-11-15,2024-10-07,O+,University College Hospital Ibadan,Surgery,47,28,Transfused,\N,3,Low,No,2024,October
BBU000125,2025-02-27,2025-04-10,2025-03-10,A+,Aminu Kano Teaching Hospital,Hematology,44,8,Transfused,\N,11,Low,No,2025,February
BBU000126,2023-04-01,2023-05-13,2023-04-20,B+,University College Hospital Ibadan,Oncology,35,5,Transfused,\N,19,Low,No,2023,April
BBU000127,2024-02-08,2024-03-21,2024-02-13,B+,Aminu Kano Teaching Hospital,Oncology,31,11,Transfused,\N,5,Low,No,2024,February
BBU000128,2024-11-07,2024-12-19,2024-12-01,A-,National Hospital Abuja,Surgery,47,10,Transfused,\N,24,Low,No,2024,November
BBU000129,2023-09-13,2023-10-25,2023-09-16,O-,Lagos University Teaching Hospital,Emergency,4,16,Transfused,\N,3,High,Yes,2023,September
BBU000130,2025-04-16,2025-05-28,2025-04-29,O+,Aminu Kano Teaching Hospital,Emergency,40,24,Transfused,\N,13,Low,No,2025,April
BBU000131,2024-08-28,2024-10-09,2024-09-06,A+,Aminu Kano Teaching Hospital,Oncology,43,7,Transfused,\N,9,Low,No,2024,August
BBU000132,2025-05-11,2025-06-22,2025-06-04,B+,University College Hospital Ibadan,Surgery,50,11,Transfused,\N,24,Low,No,2025,May
BBU000133,2023-12-23,2024-02-03,\N,O+,Federal Medical Centre Owerri,Hematology,59,21,Available,\N,25,Low,No,2023,December
BBU000134,2023-01-01,2023-02-12,2023-01-10,AB-,University of Port Harcourt Teaching Hospital,Trauma,27,9,Transfused,\N,9,Medium,No,2023,January
BBU000135,2025-05-30,2025-07-11,2025-06-22,B+,University College Hospital Ibadan,Emergency,45,14,Transfused,\N,23,Low,No,2025,May
BBU000136,2024-10-21,2024-12-02,2024-11-07,A-,Lagos University Teaching Hospital,Obstetrics,37,12,Transfused,\N,17,Low,No,2024,October
BBU000137,2024-03-13,2024-04-24,2024-03-21,A+,Lagos University Teaching Hospital,Obstetrics,40,12,Transfused,\N,8,Low,No,2024,March
BBU000138,2023-06-23,2023-08-04,2023-07-17,A+,National Hospital Abuja,Oncology,26,13,Transfused,\N,24,Medium,No,2023,June
BBU000139,2024-11-17,2024-12-29,2024-11-27,A+,Federal Medical Centre Owerri,Surgery,13,18,Transfused,\N,10,Medium,Yes,2024,November
BBU000140,2024-09-27,2024-11-08,2024-10-01,O+,University of Port Harcourt Teaching Hospital,ICU,34,18,Transfused,\N,4,Low,No,2024,September
BBU000141,2023-02-20,2023-04-03,2023-03-10,B+,Lagos University Teaching Hospital,Emergency,10,8,Transfused,\N,18,High,No,2023,February
BBU000142,2023-05-30,2023-07-11,2023-06-11,O+,University College Hospital Ibadan,Surgery,49,25,Transfused,\N,12,Low,No,2023,May
BBU000143,2024-02-03,2024-03-16,2024-02-07,O-,National Hospital Abuja,Pediatrics,6,15,Transfused,\N,4,High,Yes,2024,February
BBU000144,2024-05-14,2024-06-25,2024-06-08,A+,Federal Medical Centre Owerri,Trauma,17,15,Transfused,\N,25,Medium,No,2024,May
BBU000145,2023-01-12,2023-02-23,\N,O+,University College Hospital Ibadan,Surgery,77,15,Available,\N,27,Low,No,2023,January
BBU000146,2024-03-24,2024-05-05,\N,A+,University College Hospital Ibadan,Surgery,19,17,Expired,Damaged During Handling,42,Medium,No,2024,March
BBU000147,2025-11-26,2026-01-07,2025-12-16,A+,Lagos University Teaching Hospital,Emergency,37,5,Transfused,\N,20,Low,No,2025,November
BBU000148,2024-05-25,2024-07-06,2024-06-03,O+,Lagos University Teaching Hospital,Obstetrics,78,15,Transfused,\N,9,Low,No,2024,May
BBU000149,2023-10-01,2023-11-12,2023-10-13,O+,Federal Medical Centre Owerri,ICU,71,26,Transfused,\N,12,Low,No,2023,October
BBU000150,2025-12-23,2026-02-03,2026-01-05,B+,Lagos University Teaching Hospital,Emergency,43,14,Transfused,\N,13,Low,No,2025,December
BBU000151,2025-06-25,2025-08-06,2025-07-03,O+,Lagos University Teaching Hospital,Emergency,59,28,Transfused,\N,8,Low,No,2025,June
BBU000152,2025-07-02,2025-08-13,2025-07-15,O+,Lagos University Teaching Hospital,Surgery,77,17,Transfused,\N,13,Low,No,2025,July
BBU000153,2025-08-30,2025-10-11,2025-09-09,A+,Lagos University Teaching Hospital,Pediatrics,36,9,Transfused,\N,10,Low,No,2025,August
BBU000154,2024-07-21,2024-09-01,2024-08-13,A+,Federal Medical Centre Owerri,Trauma,41,12,Transfused,\N,23,Low,No,2024,July
BBU000155,2024-05-04,2024-06-15,2024-05-07,O+,Federal Medical Centre Owerri,Pediatrics,37,26,Transfused,\N,3,Low,No,2024,May
BBU000156,2024-08-08,2024-09-19,2024-08-15,O+,University College Hospital Ibadan,ICU,35,20,Transfused,\N,7,Low,No,2024,August
BBU000157,2024-10-16,2024-11-27,2024-10-23,A+,University College Hospital Ibadan,Pediatrics,42,6,Transfused,\N,7,Low,No,2024,October
BBU000158,2023-11-05,2023-12-17,2023-11-18,O+,University of Port Harcourt Teaching Hospital,Trauma,34,24,Transfused,\N,13,Low,No,2023,November
BBU000159,2023-11-09,2023-12-21,2023-11-25,A+,Lagos University Teaching Hospital,Surgery,21,6,Transfused,\N,16,Medium,No,2023,November
BBU000160,2025-04-14,2025-05-26,2025-05-01,A+,Lagos University Teaching Hospital,Surgery,29,13,Transfused,\N,17,Medium,No,2025,April
BBU000161,2025-05-01,2025-06-12,2025-05-16,O+,Lagos University Teaching Hospital,Surgery,23,18,Transfused,\N,15,Medium,No,2025,May
BBU000162,2025-05-10,2025-06-21,\N,O+,National Hospital Abuja,Obstetrics,44,12,Available,\N,36,Low,No,2025,May
BBU000163,2025-02-18,2025-04-01,2025-03-04,B+,Lagos University Teaching Hospital,ICU,38,5,Transfused,\N,14,Low,No,2025,February
BBU000164,2024-09-03,2024-10-15,2024-09-19,A+,University College Hospital Ibadan,Emergency,32,18,Transfused,\N,16,Low,No,2024,September
BBU000165,2024-03-27,2024-05-08,2024-04-02,O+,National Hospital Abuja,ICU,51,19,Transfused,\N,6,Low,No,2024,March
BBU000166,2025-06-11,2025-07-23,\N,O+,National Hospital Abuja,Emergency,51,12,Expired,Storage Temperature Excursion,42,Low,No,2025,June
BBU000167,2024-11-19,2024-12-31,2024-12-02,O+,Lagos University Teaching Hospital,Emergency,62,24,Transfused,\N,13,Low,No,2024,November
BBU000168,2023-12-05,2024-01-16,2023-12-09,O+,Lagos University Teaching Hospital,Trauma,73,26,Transfused,\N,4,Low,No,2023,December
BBU000169,2025-12-29,2026-02-09,2026-01-09,O+,University College Hospital Ibadan,Hematology,21,24,Transfused,\N,11,Medium,Yes,2025,December
BBU000170,2023-02-25,2023-04-08,2023-03-01,O+,Aminu Kano Teaching Hospital,Trauma,25,25,Transfused,\N,4,Medium,No,2023,February
BBU000171,2025-08-03,2025-09-14,2025-08-14,B+,Lagos University Teaching Hospital,Obstetrics,19,5,Transfused,\N,11,Medium,No,2025,August
BBU000172,2025-02-15,2025-03-29,2025-02-19,O-,National Hospital Abuja,Surgery,5,11,Transfused,\N,4,High,Yes,2025,February
BBU000173,2024-10-31,2024-12-12,2024-11-15,B+,University College Hospital Ibadan,Surgery,29,17,Transfused,\N,15,Medium,No,2024,October
BBU000174,2024-07-23,2024-09-03,2024-07-28,A+,Lagos University Teaching Hospital,ICU,34,9,Transfused,\N,5,Low,No,2024,July
BBU000175,2025-08-21,2025-10-02,2025-08-28,O+,Lagos University Teaching Hospital,ICU,21,13,Transfused,\N,7,Medium,No,2025,August
BBU000176,2024-04-04,2024-05-16,2024-04-27,A+,University College Hospital Ibadan,Emergency,49,6,Transfused,\N,23,Low,No,2024,April
BBU000177,2023-03-24,2023-05-05,\N,O+,University College Hospital Ibadan,Pediatrics,68,12,Expired,Low Demand,42,Low,No,2023,March
BBU000178,2024-02-13,2024-03-26,2024-02-24,O+,University of Port Harcourt Teaching Hospital,ICU,73,12,Transfused,\N,11,Low,No,2024,February
BBU000179,2023-11-09,2023-12-21,2023-11-27,A+,University College Hospital Ibadan,Trauma,23,7,Transfused,\N,18,Medium,No,2023,November
BBU000180,2023-08-23,2023-10-04,\N,B+,Lagos University Teaching Hospital,Pediatrics,44,8,Expired,Storage Temperature Excursion,42,Low,No,2023,August
BBU000181,2024-06-08,2024-07-20,2024-06-13,O-,Lagos University Teaching Hospital,Pediatrics,5,10,Transfused,\N,5,High,Yes,2024,June
BBU000182,2023-08-23,2023-10-04,\N,A+,Lagos University Teaching Hospital,Pediatrics,18,9,Available,\N,6,Medium,No,2023,August
BBU000183,2023-02-22,2023-04-05,2023-03-05,O+,Lagos University Teaching Hospital,Oncology,79,21,Transfused,\N,11,Low,No,2023,February
BBU000184,2025-02-07,2025-03-21,2025-02-16,B+,University College Hospital Ibadan,Trauma,33,16,Transfused,\N,9,Low,No,2025,February
BBU000185,2023-06-05,2023-07-17,\N,A+,University College Hospital Ibadan,Surgery,45,16,Available,\N,40,Low,No,2023,June
BBU000186,2024-05-12,2024-06-23,2024-05-24,A+,University of Port Harcourt Teaching Hospital,ICU,14,16,Transfused,\N,12,Medium,Yes,2024,May
BBU000187,2023-09-05,2023-10-17,\N,O+,University College Hospital Ibadan,ICU,70,13,Available,\N,22,Low,No,2023,September
BBU000188,2025-12-27,2026-02-07,2025-12-30,O-,Lagos University Teaching Hospital,Trauma,6,18,Transfused,\N,3,High,Yes,2025,December
BBU000189,2023-05-22,2023-07-03,2023-06-04,A+,Lagos University Teaching Hospital,Pediatrics,40,15,Transfused,\N,13,Low,No,2023,May
BBU000190,2023-01-26,2023-03-09,2023-02-13,A+,Federal Medical Centre Owerri,Pediatrics,34,18,Transfused,\N,18,Low,No,2023,January
